2017,Sandviken W - Medkila W,1.31,0
2017,Avaldsnes W - Grand Bodo W,1.06,1
2017,Trondheims-Orn W - LSK Kvinner W,1.22,0
2017,Medkila W - Stabaek W,1.16,1
2017,Klepp W - Kolbotn W,1.45,1
2017,LSK Kvinner W - Sandviken W,1.04,1
2017,Kolbotn W - Medkila W,1.26,1
2017,Sandviken W - Avaldsnes W,1.29,1
2017,Valerenga W - Grand Bodo W,1.22,1
2017,Avaldsnes W - Trondheims-Orn W,1.19,1
2017,Medkila W - Arna-Bjornar W,1.14,1
2017,LSK Kvinner W - Valerenga W,1.22,1
2017,Roa W - Sandviken W,1.34,1
2017,Trondheims-Orn W - Medkila W,1.16,1
2017,Medkila W - Valerenga W,1.17,1
2017,Roa W - Avaldsnes W,1.32,0
2017,LSK Kvinner W - Kolbotn W,1.07,0
2017,Roa W - Medkila W,1.17,1
2017,Avaldsnes W - Arna-Bjornar W,1.34,0
2017,Sandviken W - LSK Kvinner W,1.05,1
2017,Medkila W - Avaldsnes W,1.06,1
2017,LSK Kvinner W - Trondheims-Orn W,1.1,1
2017,Stabaek W - Sandviken W,1.15,1
2017,Avaldsnes W - Klepp W,1.18,1
2017,Roa W - LSK Kvinner W,1.24,1
2017,Sandviken W - Medkila W,1.31,0
2017,Avaldsnes W - Grand Bodo W,1.06,1
2017,Trondheims-Orn W - LSK Kvinner W,1.22,0
2017,Medkila W - Stabaek W,1.16,1
2017,Klepp W - Kolbotn W,1.45,1
2017,LSK Kvinner W - Sandviken W,1.04,1
2017,Kolbotn W - Medkila W,1.26,1
2017,Sandviken W - Avaldsnes W,1.29,1
2017,Valerenga W - Grand Bodo W,1.22,1
2017,Avaldsnes W - Trondheims-Orn W,1.19,1
2017,Medkila W - Arna-Bjornar W,1.14,1
2017,LSK Kvinner W - Valerenga W,1.22,1
2017,Roa W - Sandviken W,1.34,1
2017,Trondheims-Orn W - Medkila W,1.16,1
2017,Medkila W - Valerenga W,1.17,1
2017,Roa W - Avaldsnes W,1.32,0
2017,LSK Kvinner W - Kolbotn W,1.07,0
2017,Roa W - Medkila W,1.17,1
2017,Avaldsnes W - Arna-Bjornar W,1.34,0
2017,Sandviken W - LSK Kvinner W,1.05,1
2017,Medkila W - Avaldsnes W,1.06,1
2017,LSK Kvinner W - Trondheims-Orn W,1.1,1
2017,Stabaek W - Sandviken W,1.15,1
2017,Avaldsnes W - Klepp W,1.18,1
2017,Roa W - LSK Kvinner W,1.24,1
2016,Medkila W - Lyn W&nbsp;,1.45,1
2016,LSK Kvinner W - Sandviken W,1.1,1
2016,Kolbotn W - Uraedd W,1.21,1
2016,Sandviken W - Avaldsnes W,1.38,1
2016,Stabaek W - LSK Kvinner W,1.43,0
2016,LSK Kvinner W - Valerenga W,1.08,1
2016,Avaldsnes W - Kolbotn W,1.34,1
2016,Stabaek W - Sandviken W,1.35,1
2016,Kolbotn W - Sandviken W,1.46,0
2016,Trondheims-Orn W - Uraedd W,1.29,1
2016,Valerenga W - Avaldsnes W,1.28,1
2016,Avaldsnes W - Klepp W,1.1,1
2016,LSK Kvinner W - Arna-Bjornar W,1.07,1
2016,Uraedd W - Roa W,1.35,1
2016,Trondheims-Orn W - LSK Kvinner W,1.16,1
2016,Roa W - Avaldsnes W,1.44,1
2016,Arna-Bjornar W - Avaldsnes W,1.24,1
2016,Uraedd W - Arna-Bjornar W,1.17,0
2016,Avaldsnes W - Trondheims-Orn W,1.17,1
2016,LSK Kvinner W - Medkila W,1.02,1
2016,Kolbotn W - Klepp W,1.5,1
2016,Stabaek W - Valerenga W,1.33,1
2016,Roa W - LSK Kvinner W,1.28,1
2016,Medkila W - Kolbotn W,1.19,0
2016,Uraedd W - LSK Kvinner W,1.01,1
2016,Medkila W - Lyn W&nbsp;,1.45,1
2016,LSK Kvinner W - Sandviken W,1.1,1
2016,Kolbotn W - Uraedd W,1.21,1
2016,Sandviken W - Avaldsnes W,1.38,1
2016,Stabaek W - LSK Kvinner W,1.43,0
2016,LSK Kvinner W - Valerenga W,1.08,1
2016,Avaldsnes W - Kolbotn W,1.34,1
2016,Stabaek W - Sandviken W,1.35,1
2016,Kolbotn W - Sandviken W,1.46,0
2016,Trondheims-Orn W - Uraedd W,1.29,1
2016,Valerenga W - Avaldsnes W,1.28,1
2016,Avaldsnes W - Klepp W,1.1,1
2016,LSK Kvinner W - Arna-Bjornar W,1.07,1
2016,Uraedd W - Roa W,1.35,1
2016,Trondheims-Orn W - LSK Kvinner W,1.16,1
