2019,Bhutan - Maldives,1.17,1
2019,Hong Kong - North Korea,1.38,0
2019,Cambodia - Afghanistan,1.32,0
2019,Macau - Myanmar,1.36,1
2019,Nepal - Yemen,1.39,0
2019,Bahrain - Singapore,1.2,0
2019,Jordan - Cambodia,1.02,1
2019,Lebanon - Hong Kong,1.19,1
2019,Oman - Bhutan,1.02,1
2019,Kyrgyzstan - Macau,1.07,1
2019,Philippines - Nepal,1.13,1
2019,Chinese Taipei - East Timor&nbsp;,1.34,1
2019,Maldives - Laos&nbsp;,1.3,1
2019,Bangladesh - Bhutan&nbsp;,1.22,0
2019,Yemen - Maldives&nbsp;,1.19,1
2019,India - Laos&nbsp;,1.23,1
2019,Bangladesh - Tajikistan&nbsp;,1.31,1
2019,East Timor - Malaysia&nbsp;,1.21,1
2019,Tajikistan - Bangladesh&nbsp;,1.17,1
2019,Malaysia - East Timor&nbsp;,1.18,1
2015,Australia - United Arab Emirates,1.45,1
2015,Japan - United Arab Emirates,1.37,0
2015,Iraq - Palestine,1.15,1
2015,Japan - Jordan,1.29,1
2015,Iraq - Japan,1.32,1
2015,Palestine - Jordan,1.44,1
2015,Oman - Australia,1.38,1
2015,Kuwait - South Korea,1.33,1
2015,Japan - Palestine,1.09,1
2015,Australia - Kuwait,1.33,1
2015,Saudi Arabia - Indonesia,1.1,1
2015,Oman - Singapore,1.13,1
2015,Iran - Kuwait,1.43,1
2015,Singapore - Jordan,1.37,1
2015,Kuwait - Thailand,1.2,1
2015,United Arab Emirates - Vietnam,1.07,1
2015,Bahrain - Yemen,1.11,1
2015,Malaysia - Qatar,1.49,1
2015,Indonesia - Iraq,1.5,1
2015,Australia - United Arab Emirates,1.45,1
2015,Japan - United Arab Emirates,1.37,0
2015,Iraq - Palestine,1.15,1
2015,Japan - Jordan,1.29,1
2015,Iraq - Japan,1.32,1
2015,Palestine - Jordan,1.44,1
2015,Oman - Australia,1.38,1
2015,Kuwait - South Korea,1.33,1
2015,Japan - Palestine,1.09,1
2015,Australia - Kuwait,1.33,1
2015,Saudi Arabia - Indonesia,1.1,1
2015,Oman - Singapore,1.13,1
2015,Iran - Kuwait,1.43,1
2015,Singapore - Jordan,1.37,1
2015,Kuwait - Thailand,1.2,1
2015,United Arab Emirates - Vietnam,1.07,1
2015,Bahrain - Yemen,1.11,1
2015,Malaysia - Qatar,1.49,1
2015,Indonesia - Iraq,1.5,1
2011,Uzbekistan - South Korea,1.41,1
2011,Australia - Bahrain,1.42,1
2011,South Korea - India,1.02,1
2011,Bahrain - India,1.12,1
2011,Syria - Japan,1.37,1
2011,South Korea - Bahrain,1.46,1
2011,India - Australia,1.05,1
2011,Japan - Jordan,1.24,0
2011,Iran - Thailand,1.35,1
2011,Jordan - Singapore,1.42,1
2011,Syria - Lebanon,1.19,1
2011,Japan - Bahrain,1.32,1
2011,Australia - Indonesia,1.17,1
2011,Bahrain - Hong Kong,1.07,1
2011,United Arab Emirates - Malaysia,1.1,1
2011,Yemen - Japan,1.35,1
2011,Singapore - Iran,1.28,1
2011,Uzbekistan - South Korea,1.41,1
2011,Australia - Bahrain,1.42,1
2011,South Korea - India,1.02,1
2011,Bahrain - India,1.12,1
2011,Syria - Japan,1.37,1
2011,South Korea - Bahrain,1.46,1
2011,India - Australia,1.05,1
2011,Japan - Jordan,1.24,0
2011,Iran - Thailand,1.35,1
2011,Jordan - Singapore,1.42,1
2011,Syria - Lebanon,1.19,1
2011,Japan - Bahrain,1.32,1
2011,Australia - Indonesia,1.17,1
2011,Bahrain - Hong Kong,1.07,1
2011,United Arab Emirates - Malaysia,1.1,1
2011,Yemen - Japan,1.35,1
2011,Singapore - Iran,1.28,1
