2016,Canada U18 - Dominican Republic U18,1.02,1
2014,Canada U18 - Argentina U18,1.14,1
2014,Puerto Rico U18 - Mexico U18,1.2,1
2014,Puerto Rico U18 - Dominican Republic U18,1.14,1
2012,USA U18 - Brazil U18,1.01,1
2012,Argentina U18 - Canada U18,1.3,1
2012,USA U18 - Argentina U18,1.01,1
2012,Virgin Islands U18 - Puerto Rico U18,1.47,1
2012,Colombia U18 - Puerto Rico U18,1.01,0
2012,Brazil U18 - USA U18,1.01,1
2012,Canada U18 - Argentina U18,1.3,1
2012,Virgin Islands U18 - Mexico U18,1.39,0
2012,Puerto Rico U18 - Argentina U18,1.07,1
2012,Argentina U18 - Colombia U18,1.01,1
2012,Brazil U18 - Mexico U18,1.01,1
2012,Canada U18 - Puerto Rico U18,1.09,1
