Season,Participants,Best Odd,Your Bet,Winning Bet
2016,Wisla Can-Pack W - Gorzow W,1.18,1,1
2016,Polkowice W - Sleza Wroclaw W,1.45,2,2
2016,Gorzow W - MUKS Poznan W,1.12,1,1
2016,Sleza Wroclaw W - Lublin W,1.1,1,1
2015,Artego Bydgoszcz W - Lublin W,1.42,1,2
2015,Artego Bydgoszcz W - Polkowice W,1.22,1,1
2014,Wisla Can-Pack W - Torun W,1.21,1,1
2014,Polkowice W - Wisla Can-Pack W&nbsp;,1.22,2,2
2014,Gorzow W - Polkowice W&nbsp;,1.5,2,2
2013,Wisla Can-Pack W - Polkowice W,1.39,1,1
2013,Szczecin W - Polkowice W,1.05,2,2
2013,Torun W - Szczecin W,1.25,1,2
2012,Wisla Can-Pack W - Polkowice W,1.21,2,2
2012,Polkowice W - Pruszkow W,1.02,1,1
2012,Artego Bydgoszcz W - Wisla Can-Pack W,1.38,2,2
2012,Artego Bydgoszcz W - Basket Gdynia W&nbsp;,1.12,1,1
2012,GTK Gdynia W - Basket Gdynia W,1.1,2,2
