2016,Hrosi Brno - Jablonec,1.47,1
2016,Draci Brno - Ostrava&nbsp;,1.4,1
2016,Eagles Prague - Kotlarka Prague&nbsp;,1.5,1
2016,Eagles Prague - Technika Brno&nbsp;,1.5,1
2016,Tempo Titans Prague - Draci Brno,1.25,1
2016,Kotlarka Prague - Hrosi Brno,1.16,1
2016,Technika Brno - Kotlarka Prague,1.31,1
2016,Hrosi Brno - Draci Brno,1.25,1
2016,Olomouc - Draci Brno,1.4,0
2016,Draci Brno - Olomouc&nbsp;,1.2,1
2016,Olomouc - Ostrava&nbsp;,1.33,0
2016,Hrosi Brno - Tempo Titans Prague,1.47,1
2016,Tempo Titans Prague - Kotlarka Prague&nbsp;,1.16,0
2016,Draci Brno - Ostrava,1.06,1
2016,Ostrava - Draci Brno,1.29,1
